text,mitre_technique_ID,mitre_technique_name
stealing credentials from the Local Security Authority Subsystem Service (LSASS) process.,T1003.001,OS Credential Dumping: LSASS Memory
Mimikatz publicly available code (top); strings from a Mimikatz modification,T1003.001,OS Credential Dumping: LSASS Memory
"This call instructs LSASS to load and execute pc.dll, which then stages the getHashFlsa64.dll credential theft component.",T1003.001,OS Credential Dumping: LSASS Memory
accesses the memory of its host LSASS process and stores stolen credentials in a Mimikatz log file,T1003.001,OS Credential Dumping: LSASS Memory
of a Security Package into LSASS using RPC calls.,T1003.001,OS Credential Dumping: LSASS Memory
steals credentials from LSASS,T1003.001,OS Credential Dumping: LSASS Memory
The threat actors used C:\MS_DATA as their main working directory for storing malware and staging data for exfiltration,T1074.001,Data Staged: Local Data Staging
and Remote Desktop user sessions.,T1021.001,Remote Services: Remote Desktop Protocol
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"""cmd""  /c",T1059.003,Command and Scripting Interpreter: Windows Command Shell
"They also retrieve networking information, like network adapters, specific machines, and network services like  Remote Desktop Protocol (RDP).",T1016,System Network Configuration Discovery
"For lateral movement, the attackers made use of the PsExec tool and the net use command for accessing shared resources on remote machines.",T1570,Lateral Tool Transfer
and the PsExec Windows Sysinternals tool and net for lateral movement and exploration,T1570,Lateral Tool Transfer
loads and executes the decrypted,T1140,Deobfuscate/Decode Files or Information
pc.exe decrypts AddSecurityPackage64.dll and pc.dll using the AES encryption algorithm,T1140,Deobfuscate/Decode Files or Information
"pc.dll decrypts,",T1140,Deobfuscate/Decode Files or Information
Disabling Windows event logging in an attempt to evade detection,T1562.001,Impair Defenses: Disable or Modify Tools
"In an attempt to remain undetected, AddSecurityPackage64.dll disables Windows event logging by killing threads of the Windows Event Log service without stopping the execution of the service itself",T1562.001,Impair Defenses: Disable or Modify Tools
Injecting pc.dll into LSASS as a Security Package,T1055,Process Injection
to execute malicious code in the context of LSASS.,T1055,Process Injection
"enumerating the processes’ threads,",T1057,Process Discovery
tasklist,T1057,Process Discovery
informationAddSecurityPackage64.dll injects pc.dll into LSASS by deploying pc.dll as a Security Package,T1055,Process Injection
embedded JavaScript Observed Notation (JSON)-based configuration to set parameters,T1027,Obfuscated Files or Information
text-encoded in base64,T1027,Obfuscated Files or Information
brute-force attacks,T1110,Brute Force
brute-forcing and compromising servers,T1110,Brute Force
Valid credentials,T1078,Valid Accounts
"uploaded to the command-and-control (C&C) server,",T1041,Exfiltration Over C2 Channel
usually at port 5028/TCP,T1095,Non-Application Layer Protocol
use several highly obfuscated and underdevelopment custom loaders,T1027,Obfuscated Files or Information
malicious RAR archive,T1027,Obfuscated Files or Information
"exploits CVE-2015-2291, an Intel driver vulnerability, to load a malicious driver designed to reduce the token integrity of Microsoft Defender.",T1068,Exploitation for Privilege Escalation
deploying a malicious kernel mode driver (“bring your own vulnerable driver” or BYOVD method) via exploiting a vulnerable Intel driver,T1068,Exploitation for Privilege Escalation
install an information stealer.,T1005,Data from Local System
"stealer,",T1005,Data from Local System
keylogger with logging capabilities using the Telegram API,T1056.001,Input Capture: Keylogging
distributed to victims via phishing attempts,T1566.001,Phishing: Spearphishing Attachment
embedded binary files,T1027,Obfuscated Files or Information
"archive contains the files,",T1140,Deobfuscate/Decode Files or Information
"deobfuscate, decompress,",T1140,Deobfuscate/Decode Files or Information
decrypts strings,T1140,Deobfuscate/Decode Files or Information
"deobfuscation, and decompression",T1140,Deobfuscate/Decode Files or Information
decompressing,T1140,Deobfuscate/Decode Files or Information
"decompresses it using the GZipStream API,",T1140,Deobfuscate/Decode Files or Information
masquerades as a legitimate word document,T1036.005,Masquerading: Match Legitimate Name or Location
legitimize the package in the eyes of the victim,T1036.005,Masquerading: Match Legitimate Name or Location
designed to lure unsuspecting victims into executing the loader.,T1204.002,User Execution: Malicious File
is executed by the victim,T1204.002,User Execution: Malicious File
utilizes Telegram for delivering payloads,T1105,Ingress Tool Transfer
download,T1105,Ingress Tool Transfer
used to send program execution DEBUG and Telegram to deliver payloads and send commands.,T1105,Ingress Tool Transfer
downloads the next part,T1105,Ingress Tool Transfer
"utilizes Telegram for delivering payloads, sending commands, and receiving the payload heartbeat.",T1095,Non-Application Layer Protocol
send commands.,T1095,Non-Application Layer Protocol
sends a request to the attacker-controlled Telegram channel,T1095,Non-Application Layer Protocol
"sends the message ""bot getted"" to the debug server.",T1095,Non-Application Layer Protocol
"accepts commands from a Telegram channel,",T1095,Non-Application Layer Protocol
"message to both the Debug server and the Telegram channel,",T1095,Non-Application Layer Protocol
sends a GET request to  https://api[.]telegram[.]org/bot{token}/getUpdates to retrieve the command,T1095,Non-Application Layer Protocol
API hashing,T1027,Obfuscated Files or Information
resolves hashed Windows APIs,T1027,Obfuscated Files or Information
conceal the utilization of potentially suspicious APIs (functions) from static detection,T1027,Obfuscated Files or Information
"replacing the human-readable names of functions (such as ""CreateMutexW"") with a hash value,",T1027,Obfuscated Files or Information
used in the code to call the corresponding API function,T1027,Obfuscated Files or Information
employs dynamic API resolving to conceal its API imports,T1027,Obfuscated Files or Information
"storing the names or hashes of the APIs needed, then importing them dynamically at runtime.",T1027,Obfuscated Files or Information
"passes two arguments to the ""mw_resolveAPI"" function.",T1027,Obfuscated Files or Information
resolves the given API hash and retrieves the address of an exported function,T1027,Obfuscated Files or Information
creating a hash for each export function name,T1027,Obfuscated Files or Information
"string encryption,",T1027,Obfuscated Files or Information
irrelevant code,T1027,Obfuscated Files or Information
LoadLibrary and GetProcAddress functions,T1106,Native API
Compressapi,T1106,Native API
GetTokenInformation API.,T1106,Native API
retrieves the MachineGuid of the infected system from the SOFTWARE\Microsoft\Cryptography\MachineGuid registry key,T1012,Query Registry
"retrieves the MachineGuid of the infected system from the ""SOFTWARE\Microsoft\Cryptography\MachineGuid"" registry key.",T1012,Query Registry
deletes the HKCU\SOFTWARE\Intel registry key and recreates it,T1112,Modify Registry
collects information about the .NET Framework Setup,T1082,System Information Discovery
elevate its privileges by executing the mw_UAC_bypass function,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
Calling Local Windows RPC Servers from .NET,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
bypass user account control (UAC) using only two remote procedure call (RPC) requests,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
"executes an export function called ""Entry"" from UpdateTask.dll via rundll32.exe",T1218.011,System Binary Proxy Execution: Rundll32
payload through rundll32.exe,T1218.011,System Binary Proxy Execution: Rundll32
disable Microsoft Defender,T1562.001,Impair Defenses: Disable or Modify Tools
patch the integrity level of the Microsoft defender (MsMpEng.exe) and forcibly reduce it from system to untrusted integrity.,T1562.001,Impair Defenses: Disable or Modify Tools
determine if it is running as an account with administrator privileges or simply as a regular user,T1033,System Owner/User Discovery
creating scheduled tasks,T1053.005,Scheduled Task/Job: Scheduled Task
sets up its working directory,T1074.001,Data Staged: Local Data Staging
collect system information and steals user information,T1074.001,Data Staged: Local Data Staging
"tokens, and passwords from various web browsers and applications",T1078,Valid Accounts
captures screenshots,T1113,Screen Capture
compressed and exfiltrated to the attacker via Telegram,T1041,Exfiltration Over C2 Channel
"some strings, such as web browser paths and Geolocation API services URLs, are encrypted with the AES algorithm in cipher-block chaining (CBC) mode",T1573.001,Encrypted Channel: Symmetric Cryptography
"gathers basic system information,",T1082,System Information Discovery
for the infected system by gathering the username and hostname,T1082,System Information Discovery
"the malware then proceeds to gather basic system information, including username, computer name, and OS version,",T1082,System Information Discovery
"System info, including both hardware and OS info.",T1082,System Information Discovery
Collection of information about the system in HTML format,T1082,System Information Discovery
and hostname,T1082,System Information Discovery
"gathers basic system information, which it then sends to the C2,",T1041,Exfiltration Over C2 Channel
send a list of process names and IDs back to the C2,T1041,Exfiltration Over C2 Channel
the system information gathered by Domino Backdoor and sent to the C2,T1041,Exfiltration Over C2 Channel
in return receives an AES encrypted payload.,T1027,Obfuscated Files or Information
uses a custom algorithm which XOR’s multiple values together.,T1027,Obfuscated Files or Information
which is stored immediately before the encrypted config block.,T1027,Obfuscated Files or Information
"The malware generates a random 32-byte key, which it encrypts using the RSA key.",T1027,Obfuscated Files or Information
loading an encrypted payload from its resources,T1027,Obfuscated Files or Information
The Microsoft WinCrypt library is used for AES encryption and,T1027,Obfuscated Files or Information
the encrypted config.,T1027,Obfuscated Files or Information
be based on an encryption algorithm used previously in,T1027,Obfuscated Files or Information
by gathering the username and,T1033,System Owner/User Discovery
"to gather basic system information, including username,",T1033,System Owner/User Discovery
is generated from the system username,T1033,System Owner/User Discovery
used a similar XOR-based algorithm as part of its encryption mechanisms during communication with the C2.,T1573.001,Encrypted Channel: Symmetric Cryptography
"then proceeds to gather basic system information, including username, computer name, and OS version, which it then encrypts using AES-256-CBC and the generated,",T1573.001,Encrypted Channel: Symmetric Cryptography
then sends the AES-encrypted system data.,T1573.001,Encrypted Channel: Symmetric Cryptography
This data is then encrypted using AES and returned to the C2.,T1573.001,Encrypted Channel: Symmetric Cryptography
the decrypted config contains two pipe-delimited IP addresses,T1140,Deobfuscate/Decode Files or Information
and decrypts them using XOR and the key,T1140,Deobfuscate/Decode Files or Information
"The malware then proceeds to decrypt its configuration block,",T1140,Deobfuscate/Decode Files or Information
The config is decrypted using XOR and a 16-byte key,T1140,Deobfuscate/Decode Files or Information
"A second config block, which is decrypted separately",T1140,Deobfuscate/Decode Files or Information
The decrypted data consists of a 4 byte size,T1140,Deobfuscate/Decode Files or Information
The malware then decrypts the received payload using AES and the shared key.,T1140,Deobfuscate/Decode Files or Information
which decrypts to the following 5 bytes,T1140,Deobfuscate/Decode Files or Information
decrypting it using AES-256-CBC and a hardcoded key.,T1140,Deobfuscate/Decode Files or Information
"The decrypted data consists of 4 bytes containing the payload size,",T1140,Deobfuscate/Decode Files or Information
The Microsoft WinCrypt library is used for AES encryption and decryption by both,T1140,Deobfuscate/Decode Files or Information
is decrypted using XOR and a 16-byte key,T1140,Deobfuscate/Decode Files or Information
executes the decrypted shellcode,T1140,Deobfuscate/Decode Files or Information
loads the resources using the API calls LdrFindResource_U and LdrAccessResource,T1106,Native API
and execute the file using CreateProcessA.,T1106,Native API
"utilising similar API calls,",T1106,Native API
the malware enumerates the running processes on the system and compiles a list of process names and IDs.,T1057,Process Discovery
enumerate running processes and send a list of process names and IDs back to the C2,T1057,Process Discovery
Enumerates running processes,T1057,Process Discovery
the loader allocates memory within the current process and then loads the PE payload into it using the full PE loading procedure.,T1055,Process Injection
"It copies the headers, maps the individual PE sections,  processes any relocations,  loads the PE’s imports, and then executes the PE from its internally specified entry point.",T1055,Process Injection
"passes the PE payload to it, which the shellcode then loads and executes.",T1055,Process Injection
Enumerate files on desktop,T1083,File and Directory Discovery
Enumerates files under Steam application directory,T1083,File and Directory Discovery
looping through entries under registry key,T1012,Query Registry
"waits for data collection tasks to complete,",T1005,Data from Local System
"creating a hash of the collected data, to which it then appends its current process id.",T1005,Data from Local System
uploads data to the C2 via a HTTP POST request,T1071.001,Application Layer Protocol: Web Protocols
http/https data transfer,T1071.001,Application Layer Protocol: Web Protocols
Self-delete after sending data,T1070.004,Indicator Removal: File Deletion
It then attempts to connect to the C2 via TCP port 443,T1095,Non-Application Layer Protocol
"ranswomare for Windows can self-propagate in the local area network using the legitimate PsExec utility (contained in its body), which creates a temporary system service.",T1569.002,System Services: Service Execution
Legitimate accounts obtained by the attackers can be used to ensure persistence in the compromised infrastructure.,T1078,Valid Accounts
may use stolen legitimate accounts specified in the configuration data.,T1078,Valid Accounts
uses the command shell to run appropriate commands,T1059.003,Command and Scripting Interpreter: Windows Command Shell
an additional BAT file contained in the body of the ransomware.,T1059.003,Command and Scripting Interpreter: Windows Command Shell
"The attackers may use wmic to obtain information and run various commands,",T1047,Windows Management Instrumentation
They may also use the wmiexec module from Impacket to execute commands and move across the network.,T1047,Windows Management Instrumentation
uses wmic to obtain the,T1047,Windows Management Instrumentation
ransomware uses Native API.,T1106,Native API
the function CreateProcessWithLogonW.,T1106,Native API
"affiliates may exploit group policies, which results in a scheduled task being created (on each host) that launches the ransomware.",T1053.005,Scheduled Task/Job: Scheduled Task
disabling security tools,T1562.001,Impair Defenses: Disable or Modify Tools
"To prevent being detected, the attackers end processes and services related to security and antivirus software.",T1562.001,Impair Defenses: Disable or Modify Tools
"To bypass UAC, BlackCat ransomware may escalate privileges using the ICMLuaUtil COM interface, as well as use the Masquerade PEB method.",T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
"Bypass User Account Control;The attackers may bypass UAC using the ICMLuaUtil COM interface, as well as use the Masquerade PEB method.",T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
decrypts configuration data as well as decrypts and unpacks the legitimate PsExec utility,T1140,Deobfuscate/Decode Files or Information
unpacks the legitimate PsExec utility,T1027,Obfuscated Files or Information
ransomware uses obfuscation.,T1027,Obfuscated Files or Information
use a SoftPerfect Network Scanner executable renamed to svchost.exe.,T1036.005,Masquerading: Match Legitimate Name or Location
uses PsExec to modify the system registry parameter MaxMpxCt,T1112,Modify Registry
"To obtain authentication data, the attackers may dump the LSASS process using legitimate tools (procdump, comsvcs.dll).",T1003.001,OS Credential Dumping: LSASS Memory
"To obtain authentication data from the registry and files, the attackers may use NirSoft utilities.",T1552.001,Unsecured Credentials: Credentials In Files
"The attackers enumerate drives, directories, and files",T1083,File and Directory Discovery
to search for sensitive information for exfiltration purposes.,T1005,Data from Local System
The attackers collect information from the local system for exfiltration purposes.,T1005,Data from Local System
The attackers may use RDP to move across the network.,T1021.001,Remote Services: Remote Desktop Protocol
uses wmic to obtain the UUID of the compromised host.,T1082,System Information Discovery
enumerates all running processes,T1057,Process Discovery
;Moving across the victim’s network and deploying ransomware involves copying related tools to the host.,T1570,Lateral Tool Transfer
can self-propagate in the network by using the legitimate PsExec utility,T1570,Lateral Tool Transfer
to search for ones relating to security,T1518.001,Software Discovery: Security Software Discovery
enumerates system services to search for ones relating to security,T1518.001,Software Discovery: Security Software Discovery
"Before exfiltration, the attackers may put collected data in 7Zip archives.",T1074.001,Data Staged: Local Data Staging
"Remote access tools used by the attackers may use application layer protocols (HTTP, HTTPS,",T1071.001,Application Layer Protocol: Web Protocols
"When the attackers use Cobalt Strike, the collected information may be sent via Cobalt Strike server communication channels.",T1041,Exfiltration Over C2 Channel
"To remotely access the compromised infrastructure, the attackers may use the legitimate tools TeamViewer and ScreenConnect.",T1219,Remote Access Software
"To remotely access the compromised infrastructure, the attackers may use Cobalt Strike, TeamViewer and ScreenConnect",T1219,Remote Access Software
which perform asymmetric/symmetric encryption of the C&C server communication channel.,T1573.001,Encrypted Channel: Symmetric Cryptography
the attackers copy tools necessary for deployment to the compromised host.,T1105,Ingress Tool Transfer
the malware executes a command to delete itself from the system,T1070.004,Indicator Removal: File Deletion
delete key files,T1070.004,Indicator Removal: File Deletion
"attackers have been seen using several methods to distribute the wiper through the domain, like: domain Group Policy Object (GPO)",T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
installs the payload as a service,T1543.003,Create or Modify System Process: Windows Service
sets a hardcoded list of system directories,T1083,File and Directory Discovery
system directories are targeted,T1083,File and Directory Discovery
enumerates their partitions.,T1083,File and Directory Discovery
an obfuscated .NET program.,T1027,Obfuscated Files or Information
WMI,T1047,Windows Management Instrumentation
to identify where the Operative System is stored in the disk,T1082,System Information Discovery
Application-level protocol,T1071.001,Application Layer Protocol: Web Protocols
sends the output of ipconfig in a POST request,T1071.001,Application Layer Protocol: Web Protocols
the opening of a URL file extracted from the archive.,T1071.001,Application Layer Protocol: Web Protocols
output of ipconfig was sent to one of two addresses,T1071.001,Application Layer Protocol: Web Protocols
Application-level protocol,T1071.001,Application Layer Protocol: Web Protocols
a GET request is sent to the C2 server.,T1071.001,Application Layer Protocol: Web Protocols
application-level messages from the server to the client is sent as the body of an HTTP response,T1071.001,Application Layer Protocol: Web Protocols
are sent using separate POST requests.,T1071.001,Application Layer Protocol: Web Protocols
sends an HTTPS request,T1071.001,Application Layer Protocol: Web Protocols
same IP address was used as C2 server,T1071.001,Application Layer Protocol: Web Protocols
domains give attackers the ability to mask malicious traffic as legitimate activity within the company,T1071.001,Application Layer Protocol: Web Protocols
HttpConnector and HttpBindConnector are HTTP client with support for proxy and HTTP server.,T1071.001,Application Layer Protocol: Web Protocols
HTTP and HTTPS are supported,T1071.001,Application Layer Protocol: Web Protocols
HTTP with long polling,T1071.001,Application Layer Protocol: Web Protocols
connect by sending a GET request to a URL from the configuration and provide a special cookie value,T1071.001,Application Layer Protocol: Web Protocols
sends GET requests with pull operations.,T1071.001,Application Layer Protocol: Web Protocols
POST request with push operation,T1071.001,Application Layer Protocol: Web Protocols
Application-level protocol,T1071.001,Application Layer Protocol: Web Protocols
use HTTP/HTTPS for C2 connections,T1071.001,Application Layer Protocol: Web Protocols
An encrypted resume,T1027,Obfuscated Files or Information
archive,T1027,Obfuscated Files or Information
archive contains a bait PDF document,T1027,Obfuscated Files or Information
XOR encrypted with a 16-byte key,T1027,Obfuscated Files or Information
obfuscated with VMProtect,T1027,Obfuscated Files or Information
additional XOR encryption with the key,T1027,Obfuscated Files or Information
AES-128-CBC for encryption.,T1027,Obfuscated Files or Information
hashed with MD5,T1027,Obfuscated Files or Information
use AES-128 in CFB mode as the encryption algorithm,T1027,Obfuscated Files or Information
encrypted with the algorithm,T1027,Obfuscated Files or Information
a RAR archive,T1027,Obfuscated Files or Information
distributed in a RAR archive,T1027,Obfuscated Files or Information
ROR-13 hash,T1027,Obfuscated Files or Information
re-encrypted and saved in the same location,T1027,Obfuscated Files or Information
encrypted header,T1027,Obfuscated Files or Information
encrypted Base64 string containing the session GUID,T1027,Obfuscated Files or Information
compressed with GZip prior to encryption,T1027,Obfuscated Files or Information
are obfuscated with VMProtect,T1027,Obfuscated Files or Information
obfuscated,T1027,Obfuscated Files or Information
obfuscated code,T1027,Obfuscated Files or Information
is encrypted in the file,T1027,Obfuscated Files or Information
is re-encrypted,T1027,Obfuscated Files or Information
has been obfuscated with the same rel_jmp and fake-jb techniques,T1027,Obfuscated Files or Information
SFX archive,T1027,Obfuscated Files or Information
SFX archive,T1027,Obfuscated Files or Information
RAR and SFX-RAR files,T1027,Obfuscated Files or Information
plus the folder,T1027,Obfuscated Files or Information
"malicious archive,",T1027,Obfuscated Files or Information
located in the data sections,T1027,Obfuscated Files or Information
shellcode is located in a PE file overlay.,T1027,Obfuscated Files or Information
(encrypted) shellcode,T1027,Obfuscated Files or Information
consists of two .exe files.,T1027,Obfuscated Files or Information
contains three identical executable files,T1027,Obfuscated Files or Information
contains just one file:,T1027,Obfuscated Files or Information
which is also embedded inside the CHM file,T1027,Obfuscated Files or Information
three sections are extracted,T1027,Obfuscated Files or Information
malicious shortcuts,T1036.005,Masquerading: Match Legitimate Name or Location
Web lnks with two shortcuts:,T1036.005,Masquerading: Match Legitimate Name or Location
copies the payload to the folder C:\Users\Public\Downloads,T1036.005,Masquerading: Match Legitimate Name or Location
PDF documents with a CV and IELTS certificate,T1036.005,Masquerading: Match Legitimate Name or Location
the folder C:\Users\Public,T1036.005,Masquerading: Match Legitimate Name or Location
copied to the folder %appdata%\Microsoft\AddIns\,T1036.005,Masquerading: Match Legitimate Name or Location
into the folder c:\programdata,T1036.005,Masquerading: Match Legitimate Name or Location
folder c:\programdata,T1036.005,Masquerading: Match Legitimate Name or Location
trying to open either of the shortcuts,T1204.002,User Execution: Malicious File
If the user opens it directly,T1204.002,User Execution: Malicious File
"tries to make users run malicious .lnk, .chm, and .exe files",T1204.002,User Execution: Malicious File
"running a command that extracts a Base64-encoded CAB archive from the body of the LNK file,",T1140,Deobfuscate/Decode Files or Information
archive is unpacked to a temporary folder.,T1140,Deobfuscate/Decode Files or Information
an extracted JS script,T1140,Deobfuscate/Decode Files or Information
extract shellcode,T1140,Deobfuscate/Decode Files or Information
decrypts the string,T1140,Deobfuscate/Decode Files or Information
used for decryption:,T1140,Deobfuscate/Decode Files or Information
is unpacked,T1140,Deobfuscate/Decode Files or Information
unpacks,T1140,Deobfuscate/Decode Files or Information
encrypted portion of the data is decrypted,T1140,Deobfuscate/Decode Files or Information
is decrypted,T1140,Deobfuscate/Decode Files or Information
decryption and decompression,T1140,Deobfuscate/Decode Files or Information
decryption,T1140,Deobfuscate/Decode Files or Information
decodes it into shellcode with Base64,T1140,Deobfuscate/Decode Files or Information
decrypt,T1140,Deobfuscate/Decode Files or Information
uses a custom PL format with encryption,T1140,Deobfuscate/Decode Files or Information
adding itself to the startup folder,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"writes the file svchost.bat, which transfers control to winness.exe, to the startup folder",T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
persists by means of a registry run key or a startup folder,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"adding a scheduler task,",T1053.005,Scheduled Task/Job: Scheduled Task
creates a task with schtasks for persistence,T1053.005,Scheduled Task/Job: Scheduled Task
that all three intermediate C2 servers,T1090,Proxy
possible proxy servers (any indicated in the configuration plus system proxies) and C2 servers,T1090,Proxy
domains give attackers the ability to mask malicious traffic as legitimate activity within the company,T1090,Proxy
proxy server,T1090,Proxy
proxy,T1090,Proxy
– proxy server address and credentials,T1090,Proxy
proxy server,T1090,Proxy
collects and sends system information,T1005,Data from Local System
OS uptime,T1082,System Information Discovery
Operating system version and whether it is 32-bit or 64-bit,T1082,System Information Discovery
"Computer name
Name of running module
PID",T1082,System Information Discovery
Shellcode version and whether it is 32-bit or 64-bit,T1082,System Information Discovery
Whether the OS is 32-bit or 64-bit,T1082,System Information Discovery
Computer name,T1082,System Information Discovery
collect information about the computer name and OS version and whether it is 32-bit or 64-bit,T1082,System Information Discovery
"Network adapter IP addresses
MAC address of one of the adapters",T1016,System Network Configuration Discovery
List of IP addresses,T1016,System Network Configuration Discovery
MAC addresses of network adapters,T1016,System Network Configuration Discovery
Collects the configuration of active connector instances other than the RPCConnector and RPCBindConnector classes.,T1016,System Network Configuration Discovery
collect information about the IP and MAC addresses of the infected machine,T1016,System Network Configuration Discovery
Username,T1033,System Owner/User Discovery
Username and workgroup,T1033,System Owner/User Discovery
collect information about the name of the current user,T1033,System Owner/User Discovery
Transport-level protocol,T1095,Non-Application Layer Protocol
Standard TCP connection,T1095,Non-Application Layer Protocol
two TCP connections.,T1095,Non-Application Layer Protocol
Duplication of socket with TLS connection,T1095,Non-Application Layer Protocol
establishes a TCP connection,T1095,Non-Application Layer Protocol
messages are exchanged in the original TCP connection (without TLS encryption).,T1095,Non-Application Layer Protocol
KCP protocol,T1095,Non-Application Layer Protocol
uses KCP on top of a TCP connection,T1095,Non-Application Layer Protocol
three ways to connect to the C2 server,T1095,Non-Application Layer Protocol
"Transport protocol 3, port 8443
Transport protocol 2, port 80
Transport protocol 1, port 8080",T1095,Non-Application Layer Protocol
TcpConnector and TcpBindConnector are classes responsible for connecting over TCP as client and server,T1095,Non-Application Layer Protocol
"Transport protocols
TCP",T1095,Non-Application Layer Protocol
RPC (Pipe),T1095,Non-Application Layer Protocol
Network-level protocol,T1095,Non-Application Layer Protocol
KCP protocol,T1095,Non-Application Layer Protocol
KCP protocol,T1095,Non-Application Layer Protocol
support for multiple transport protocols for connecting to C2 servers,T1095,Non-Application Layer Protocol
use TCP and UDP for C2 connections,T1095,Non-Application Layer Protocol
AES-128 is the encryption algorithm used.,T1573.001,Encrypted Channel: Symmetric Cryptography
encrypted with AES-256-CBC;,T1573.001,Encrypted Channel: Symmetric Cryptography
is encrypted in the standard way,T1573.001,Encrypted Channel: Symmetric Cryptography
"encrypted in the backdoor's standard way,",T1573.001,Encrypted Channel: Symmetric Cryptography
data is encrypted in the standard way,T1573.001,Encrypted Channel: Symmetric Cryptography
uses AES for encrypting traffic in its backdoors,T1573.001,Encrypted Channel: Symmetric Cryptography
injectors,T1055,Process Injection
run it in an active process,T1055,Process Injection
running an arbitrary command in a CHM file via an ActiveX object,T1055,Process Injection
runs in a new process,T1055,Process Injection
is injected in a similar way,T1055,Process Injection
injected into,T1055,Process Injection
Crosswalk and Metasploit injectors,T1055,Process Injection
inject shellcode into the process,T1055,Process Injection
SeDebugPrivilege,T1106,Native API
finds the API functions it needs,T1106,Native API
Microsoft CryptoAPI,T1106,Native API
Cryptography API:,T1106,Native API
via a ZwCreateSection call,T1106,Native API
via ZwMapViewOfSection calls,T1106,Native API
execute a method from the .NET assembly,T1106,Native API
HttpWebRequest and HttpListener from .NET Framework are used for client and server implementations,T1106,Native API
RPCConnector and RPCBindConnector,T1106,Native API
TcpBindConnector and HttpBindConnector,T1106,Native API
TcpConnector/TcpBindConnector,T1106,Native API
CreateThread,T1106,Native API
uses various WinAPI functions to run malicious shellcode in the current process or to inject it into another process,T1106,Native API
finds the PID of the target process,T1057,Process Discovery
Current processes are checked,T1057,Process Discovery
"Name of running module
PID",T1057,Process Discovery
injects shellcode into it,T1055,Process Injection
"injects shellcode into the processes explorer.exe, winlogon.exe, wmplayer.exe, svchost.exe, and spoolsv.exe",T1055,Process Injection
archive was distributed,T1105,Ingress Tool Transfer
unpacks an HTML,T1027,Obfuscated Files or Information
is unpacked from the CHM file.,T1027,Obfuscated Files or Information
SFX archive,T1027,Obfuscated Files or Information
unpacks three files,T1027,Obfuscated Files or Information
contents are unpacked,T1027,Obfuscated Files or Information
SFX archiveWhen unpacked,T1027,Obfuscated Files or Information
use VMProtect or custom packers for its malware,T1027,Obfuscated Files or Information
can send system information,T1041,Exfiltration Over C2 Channel
is the library Funny.dll,T1055,Process Injection
dynamically loads the library,T1055,Process Injection
"that contains the library mapistub.dll,",T1055,Process Injection
dynamically loaded from a Base64 constant defined in the main assembly.,T1027,Obfuscated Files or Information
conditional jumps that never run are included,T1027,Obfuscated Files or Information
obfuscated with junk instructions and inverted conditional jumps (combinations of jle/jg and the like).,T1027,Obfuscated Files or Information
the file is deleted,T1070.004,Indicator Removal: File Deletion
wiping traces of malware from the system,T1070.004,Indicator Removal: File Deletion
saved in the registry,T1112,Modify Registry
passes control to a.bat.,T1059.003,Command and Scripting Interpreter: Windows Command Shell
cleanup script,T1059.003,Command and Scripting Interpreter: Windows Command Shell
uses cmd.exe and .bat files to run commands,T1059.003,Command and Scripting Interpreter: Windows Command Shell
sends phishing messages with malicious attachments,T1566.001,Phishing: Spearphishing Attachment
persists on infected machines by creating new services,T1543.003,Create or Modify System Process: Windows Service
uses legitimate utilities to load DLLs,T1574.002,Hijack Execution Flow: DLL Side-Loading
establish C2 connections via a peer-to-peer network of infected hosts,T1090,Proxy
support C2 connections via an external HTTP/SOCKS proxy,T1090,Proxy
"using the API RegisterServiceHandlerA then SetServiceStatus, and finally CreateEventA.",T1106,Native API
abusing API calls in the Operating System.,T1106,Native API
The malware also decrypts,T1140,Deobfuscate/Decode Files or Information
the decryption routine,T1140,Deobfuscate/Decode Files or Information
Decryption routine,T1140,Deobfuscate/Decode Files or Information
the AES 256 decryption key of the payload,T1140,Deobfuscate/Decode Files or Information
